"Date","Price","Open","High","Low","Vol.","Change %"
"22-05-2023","18,314.40","18,201.10","18,335.25","18,178.85","262.56B","0.61%"
"19-05-2023","18,203.40","18,186.15","18,218.10","18,060.40","260.90B","0.41%"
"18-05-2023","18,129.95","18,287.50","18,297.20","18,104.85","272.10B","-0.28%"
"17-05-2023","18,181.75","18,300.45","18,309.00","18,115.35","229.90B","-0.57%"
"16-05-2023","18,286.50","18,432.35","18,432.35","18,264.35","219.49B","-0.61%"
"15-05-2023","18,398.85","18,339.30","18,458.90","18,287.90","216.09B","0.46%"
"12-05-2023","18,314.80","18,273.75","18,342.75","18,194.55","241.70B","0.10%"
"11-05-2023","18,297.00","18,357.80","18,389.70","18,270.40","248.93B","-0.10%"
"10-05-2023","18,315.10","18,313.60","18,326.75","18,211.95","220.45B","0.27%"
"09-05-2023","18,265.95","18,303.40","18,344.20","18,229.65","245.37B","0.01%"
"08-05-2023","18,264.40","18,120.60","18,286.95","18,100.30","228.40B","1.08%"
"05-05-2023","18,069.00","18,117.30","18,216.95","18,055.45","239.70B","-1.02%"
"04-05-2023","18,255.80","18,081.00","18,267.45","18,066.70","226.64B","0.92%"
"03-05-2023","18,089.85","18,113.80","18,116.35","18,042.40","226.17B","-0.32%"
"02-05-2023","18,147.65","18,124.80","18,180.25","18,101.75","265.22B","0.46%"
"28-04-2023","18,065.00","17,950.40","18,089.15","17,885.30","290.26B","0.84%"
"27-04-2023","17,915.05","17,813.10","17,931.60","17,797.90","241.43B","0.57%"
"26-04-2023","17,813.60","17,767.30","17,827.75","17,711.20","233.01B","0.25%"
"25-04-2023","17,769.25","17,761.55","17,807.45","17,716.85","297.45B","0.15%"
"24-04-2023","17,743.40","17,707.55","17,754.50","17,612.50","255.74B","0.68%"
"21-04-2023","17,624.05","17,639.75","17,663.20","17,553.95","230.16B","0.00%"
"20-04-2023","17,624.45","17,638.60","17,684.45","17,584.35","215.10B","0.03%"
"19-04-2023","17,618.75","17,653.35","17,666.15","17,579.85","281.46B","-0.23%"
"18-04-2023","17,660.15","17,766.60","17,766.60","17,610.20","258.86B","-0.26%"
"17-04-2023","17,706.85","17,863.00","17,863.00","17,574.05","357.40B","-0.68%"
"13-04-2023","17,828.00","17,807.30","17,842.15","17,729.65","285.76B","0.09%"
"12-04-2023","17,812.40","17,759.55","17,825.75","17,717.25","232.82B","0.51%"
"11-04-2023","17,722.30","17,704.80","17,748.75","17,655.15","304.26B","0.56%"
"10-04-2023","17,624.05","17,634.90","17,694.10","17,597.95","254.82B","0.14%"
"06-04-2023","17,599.15","17,533.85","17,638.70","17,502.85","242.71B","0.24%"
"05-04-2023","17,557.05","17,422.30","17,570.55","17,402.70","248.35B","0.91%"
"03-04-2023","17,398.05","17,427.95","17,428.05","17,312.75","230.17B","0.22%"
"31-03-2023","17,359.75","17,210.35","17,381.60","17,204.65","263.89B","1.63%"
"29-03-2023","17,080.70","16,977.30","17,126.15","16,940.60","345.91B","0.76%"
"28-03-2023","16,951.70","17,031.75","17,061.75","16,913.75","238.84B","-0.20%"
"27-03-2023","16,985.70","16,984.30","17,091.00","16,918.55","218.42B","0.24%"
"24-03-2023","16,945.05","17,076.20","17,109.45","16,917.35","228.04B","-0.77%"
"23-03-2023","17,076.90","17,097.40","17,205.40","17,045.30","219.17B","-0.44%"
"22-03-2023","17,151.90","17,177.45","17,207.25","17,107.85","","0.26%"
"21-03-2023","17,107.50","17,060.40","17,127.70","17,016.00","246.74B","0.70%"
"20-03-2023","16,988.40","17,066.60","17,066.60","16,828.35","241.78B","-0.65%"
"17-03-2023","17,100.05","17,111.80","17,145.80","16,958.15","408.12B","0.67%"
"16-03-2023","16,985.60","16,994.65","17,062.45","16,850.15","349.82B","0.08%"
"15-03-2023","16,972.15","17,166.45","17,211.35","16,938.90","248.19B","-0.42%"
"14-03-2023","17,043.30","17,160.55","17,224.65","16,987.10","290.60B","-0.65%"
"13-03-2023","17,154.30","17,421.90","17,529.90","17,113.45","254.91B","-1.49%"
"10-03-2023","17,412.90","17,443.80","17,451.50","17,324.35","235.93B","-1.00%"
"09-03-2023","17,589.60","17,772.05","17,772.35","17,573.60","262.35B","-0.93%"
"08-03-2023","17,754.40","17,665.75","17,766.50","17,602.25","267.04B","0.24%"
"06-03-2023","17,711.45","17,680.35","17,799.95","17,671.95","362.80B","0.67%"
"03-03-2023","17,594.35","17,451.25","17,644.75","17,427.70","356.17B","1.57%"
"02-03-2023","17,321.90","17,421.50","17,445.80","17,306.00","310.67B","-0.74%"
"01-03-2023","17,450.90","17,360.10","17,467.75","17,345.25","272.88B","0.85%"
"28-02-2023","17,303.95","17,383.25","17,440.45","17,255.20","420.88B","-0.51%"
"27-02-2023","17,392.70","17,428.60","17,451.60","17,299.00","246.45B","-0.42%"
"24-02-2023","17,465.80","17,591.35","17,599.75","17,421.80","209.41B","-0.26%"
"23-02-2023","17,511.25","17,574.65","17,620.05","17,455.40","240.81B","-0.25%"
"22-02-2023","17,554.30","17,755.35","17,772.50","17,529.45","204.02B","-1.53%"
"21-02-2023","17,826.70","17,905.80","17,924.90","17,800.30","198.25B","-0.10%"
"20-02-2023","17,844.60","17,965.55","18,004.35","17,818.40","174.56B","-0.56%"
"17-02-2023","17,944.20","17,974.85","18,034.25","17,884.60","208.05B","-0.51%"
"16-02-2023","18,035.85","18,094.75","18,134.75","18,000.65","230.25B","0.11%"
"15-02-2023","18,015.85","17,896.60","18,034.10","17,853.80","229.27B","0.48%"
"14-02-2023","17,929.85","17,840.35","17,954.55","17,800.05","244.51B","0.89%"
"13-02-2023","17,770.90","17,859.10","17,880.70","17,719.75","231.28B","-0.48%"
"10-02-2023","17,856.50","17,847.55","17,876.95","17,801.00","231.99B","-0.21%"
"09-02-2023","17,893.45","17,885.50","17,916.90","17,779.80","260.85B","0.12%"
"08-02-2023","17,871.70","17,750.30","17,898.70","17,744.15","290.99B","0.85%"
"07-02-2023","17,721.50","17,790.10","17,811.15","17,652.55","354.40B","-0.24%"
"06-02-2023","17,764.60","17,818.55","17,823.70","17,698.35","282.54B","-0.50%"
"03-02-2023","17,854.05","17,721.75","17,870.30","17,584.20","424.12B","1.38%"
"02-02-2023","17,610.40","17,517.10","17,653.90","17,445.95","490.11B","-0.03%"
"01-02-2023","17,616.30","17,811.60","17,972.20","17,353.40","512.87B","-0.26%"
"31-01-2023","17,662.15","17,731.45","17,735.70","17,537.55","398.34B","0.07%"
"30-01-2023","17,648.95","17,541.95","17,709.15","17,405.55","432.43B","0.25%"
"27-01-2023","17,604.35","17,877.20","17,884.75","17,493.55","476.34B","-1.61%"
"25-01-2023","17,891.95","18,093.35","18,100.60","17,846.15","257.23B","-1.25%"
"24-01-2023","18,118.30","18,183.95","18,201.25","18,078.65","216.91B","0.00%"
"23-01-2023","18,118.55","18,118.45","18,162.60","18,063.45","202.46B","0.50%"
"20-01-2023","18,027.65","18,115.60","18,145.45","18,016.20","237.23B","-0.44%"
"19-01-2023","18,107.85","18,119.80","18,155.20","18,063.75","237.83B","-0.32%"
"18-01-2023","18,165.35","18,074.30","18,183.75","18,032.45","255.84B","0.62%"
"17-01-2023","18,053.30","17,922.80","18,072.05","17,886.95","219.06B","0.89%"
"16-01-2023","17,894.85","18,033.15","18,049.65","17,853.65","206.20B","-0.34%"
"13-01-2023","17,956.60","17,867.50","17,999.35","17,774.25","256.70B","0.55%"
"12-01-2023","17,858.20","17,920.85","17,945.80","17,761.65","227.77B","-0.21%"
"11-01-2023","17,895.70","17,924.25","17,976.35","17,824.35","259.85B","-0.10%"
"10-01-2023","17,914.15","18,121.30","18,127.60","17,856.00","283.28B","-1.03%"
"09-01-2023","18,101.20","17,952.55","18,141.40","17,936.15","257.24B","1.35%"
"06-01-2023","17,859.45","18,008.05","18,047.40","17,795.55","238.22B","-0.74%"
"05-01-2023","17,992.15","18,101.95","18,120.30","17,892.60","269.95B","-0.28%"
"04-01-2023","18,042.95","18,230.65","18,243.00","18,020.60","235.16B","-1.04%"
"03-01-2023","18,232.55","18,163.20","18,251.95","18,149.80","208.70B","0.19%"
"02-01-2023","18,197.45","18,131.70","18,215.15","18,086.50","256.07B","0.51%"
